attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot
spatial,,,500,,,,,,,,,,,,1,0
spatial,,,500,,,,,,,,,,,,10,0
spatial,,,500,,,,,,,,,,,,30,0
spatial,,,500,,,,,,,,,,,,50,0
spatial,,,500,,,,,,,,,,,,70,0
spatial,,,500,,,,,,,,,,,,100,0
spatial,,,500,,,,,,,,,,,,0,1
spatial,,,500,,,,,,,,,,,,0,10
spatial,,,500,,,,,,,,,,,,0,30
spatial,,,500,,,,,,,,,,,,0,50
spatial,,,500,,,,,,,,,,,,0,70
spatial,,,500,,,,,,,,,,,,0,100
spatial,,,500,,,,,,,,,,,,10,10
spatial,,,500,,,,,,,,,,,,10,30
spatial,,,500,,,,,,,,,,,,10,50
spatial,,,500,,,,,,,,,,,,10,70
spatial,,,500,,,,,,,,,,,,10,100
spatial,,,500,,,,,,,,,,,,50,10
spatial,,,500,,,,,,,,,,,,50,30
spatial,,,500,,,,,,,,,,,,50,50
spatial,,,500,,,,,,,,,,,,50,70
spatial,,,500,,,,,,,,,,,,50,100
spatial,,,500,,,,,,,,,,,,100,10
spatial,,,500,,,,,,,,,,,,100,30
spatial,,,500,,,,,,,,,,,,100,50
spatial,,,500,,,,,,,,,,,,100,70
spatial,,,500,,,,,,,,,,,,100,100
spatial,,,500,,,,,,,,,,,,10,10
spatial,,,500,,,,,,,,,,,,30,10
spatial,,,500,,,,,,,,,,,,50,10
spatial,,,500,,,,,,,,,,,,70,10
spatial,,,500,,,,,,,,,,,,100,10
spatial,,,500,,,,,,,,,,,,10,50
spatial,,,500,,,,,,,,,,,,30,50
spatial,,,500,,,,,,,,,,,,50,50
spatial,,,500,,,,,,,,,,,,70,50
spatial,,,500,,,,,,,,,,,,100,50
spatial,,,500,,,,,,,,,,,,10,100
spatial,,,500,,,,,,,,,,,,30,100
spatial,,,500,,,,,,,,,,,,50,100
spatial,,,500,,,,,,,,,,,,70,100
spatial,,,500,,,,,,,,,,,,100,100
spatial,,,500,,,,,,,,,,,,,
